index,name,name2,pos,sum,timeOnIce,ot,shutouts,ties,wins,losses,saves,powerPlaySaves,shortHandedSaves,evenSaves,shortHandedShots,evenShots,powerPlayShots,savePercentage,goalAgainstAverage,games,gamesStarted,shotsAgainst,goalsAgainst,timeOnIcePerGame,powerPlaySavePercentage,shortHandedSavePercentage,evenStrengthSavePercentage,assists,goals,pim,shots,hits,powerPlayGoals,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,penaltyMinutes,faceOffPct,shotPct,gameWinningGoals,overTimeGoals,shortHandedGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,plusMinus,points,shifts,evenTimeOnIcePerGame,shortHandedTimeOnIcePerGame,powerPlayTimeOnIcePerGame
8480193,Daniil Tarasov,"Tarasov, Daniil",G,0,174:51,0.0,0.0,0.0,0.0,2.0,104.0,6.0,6.0,92.0,6.0,99.0,6.0,0.937,2.4021,4,3.0,111.0,7.0,43:42,100.0,100.0,92.92929292929293,,,,,,,,,,,,,,,,,,,,,,,,
8474161,Jakub Voracek,"Voracek, Jakub",RW,335,1379:17,,,,,,,,,,,,,,,79,,,,17:27,,,,56.0,6.0,44.0,147.0,27.0,2.0,25.0,253:53,1123:38,44,15.15,4.1,2.0,1.0,0.0,0.0,01:46,28.0,-13.0,62.0,1615.0,14:13,00:01,03:12
8474679,Gustav Nyquist,"Nyquist, Gustav",C,303,1462:56,,,,,,,,,,,,,,,82,,,,17:50,,,,35.0,18.0,26.0,122.0,41.0,4.0,10.0,150:22,1167:23,26,46.66,14.8,0.0,0.0,4.0,4.0,145:11,51.0,-12.0,53.0,1855.0,14:14,01:46,01:50
8475790,Erik Gudbranson,"Gudbranson, Erik",D,451,1414:52,,,,,,,,,,,,,,,78,,,,18:08,,,,11.0,6.0,68.0,129.0,145.0,0.0,0.0,06:25,1180:40,68,0.0,4.7,0.0,0.0,0.0,0.0,227:47,92.0,15.0,17.0,2035.0,15:08,02:55,00:04
8476346,Johnny Gaudreau,"Gaudreau, Johnny",LW,456,1523:08,,,,,,,,,,,,,,,82,,,,18:34,,,,75.0,40.0,26.0,262.0,10.0,6.0,25.0,241:50,1276:32,26,100.0,15.3,9.0,2.0,0.0,0.0,04:46,9.0,64.0,115.0,1807.0,15:34,00:03,02:56
8476374,Sean Kuraly,"Kuraly, Sean",C,504,1221:13,,,,,,,,,,,,,,,77,,,,15:51,,,,16.0,14.0,61.0,121.0,240.0,0.0,1.0,14:49,1024:14,61,49.44,11.6,0.0,0.0,0.0,1.0,182:10,51.0,2.0,30.0,1676.0,13:18,02:21,00:11
8476867,Brendan Gaunce,"Gaunce, Brendan",C,114,242:53,,,,,,,,,,,,,,,30,,,,08:05,,,,2.0,5.0,12.0,44.0,42.0,0.0,0.0,00:07,242:41,12,52.38,11.4,0.0,0.0,0.0,0.0,00:05,9.0,2.0,7.0,351.0,08:05,00:00,00:00
8476914,Joonas Korpisalo,"Korpisalo, Joonas",G,0,1128:29,0.0,0.0,0.0,7.0,11.0,556.0,77.0,20.0,459.0,22.0,519.0,93.0,0.877,4.1472,22,17.0,634.0,78.0,51:17,82.79569892473118,90.9090909090909,88.4393063583815,,,,,,,,,,,,,,,,,,,,,,,,
8478007,Elvis Merzlikins,"Merzlikins, Elvis",G,0,3320:07,7.0,2.0,0.0,27.0,23.0,1742.0,204.0,36.0,1502.0,40.0,1642.0,238.0,0.907,3.2168,59,56.0,1920.0,178.0,56:16,85.71428571428571,90.0,91.47381242387333,,,,,,,,,,,,,,,,,,,,,,,,
8478458,Jack Roslovic,"Roslovic, Jack",C,284,1156:47,,,,,,,,,,,,,,,81,,,,14:16,,,,23.0,22.0,12.0,131.0,60.0,4.0,7.0,123:45,970:37,12,43.5,16.8,4.0,1.0,0.0,0.0,62:25,25.0,2.0,45.0,1522.0,11:58,00:46,01:31
8478460,Zach Werenski,"Werenski, Zach",D,430,1744:48,,,,,,,,,,,,,,,68,,,,25:39,,,,37.0,11.0,22.0,216.0,33.0,4.0,14.0,218:54,1420:08,22,0.0,5.1,2.0,0.0,0.0,1.0,105:46,95.0,-15.0,48.0,1786.0,20:53,01:33,03:13
8478882,Vladislav Gavrikov,"Gavrikov, Vladislav",D,472,1782:58,,,,,,,,,,,,,,,80,,,,22:17,,,,28.0,5.0,68.0,108.0,124.0,0.0,0.0,06:55,1529:02,68,0.0,4.6,1.0,0.0,0.0,1.0,247:01,138.0,-3.0,33.0,2025.0,19:06,03:05,00:05
8479339,Patrik Laine,"Laine, Patrik",LW,315,1054:27,,,,,,,,,,,,,,,56,,,,18:49,,,,30.0,26.0,24.0,167.0,34.0,5.0,14.0,191:06,862:43,24,36.84,15.6,7.0,3.0,0.0,0.0,00:38,13.0,-7.0,56.0,1199.0,15:24,00:00,03:24
8479369,Andrew Peeke,"Peeke, Andrew",D,507,1761:05,,,,,,,,,,,,,,,82,,,,21:28,,,,13.0,2.0,60.0,72.0,191.0,0.0,0.0,05:05,1491:50,60,0.0,2.8,0.0,0.0,0.0,0.0,264:10,169.0,-14.0,15.0,2013.0,18:11,03:13,00:03
8479402,Jake Bean,"Bean, Jake",D,259,1378:04,,,,,,,,,,,,,,,67,,,,20:34,,,,18.0,7.0,26.0,90.0,41.0,0.0,4.0,74:48,1230:33,26,0.0,7.8,2.0,2.0,0.0,1.0,72:43,71.0,-5.0,25.0,1621.0,18:21,01:05,01:06
8479671,Mathieu Olivier,"Olivier, Mathieu",RW,47,100:59,,,,,,,,,,,,,,,10,,,,10:05,,,,1.0,0.0,14.0,5.0,23.0,0.0,0.0,00:15,92:38,14,0.0,0.0,0.0,0.0,0.0,0.0,08:06,4.0,-3.0,1.0,148.0,09:15,00:48,00:01
8479941,Justin Danforth,"Danforth, Justin",RW,205,565:42,,,,,,,,,,,,,,,45,,,,12:34,,,,4.0,10.0,10.0,72.0,85.0,0.0,1.0,12:45,531:11,10,53.76,13.9,1.0,0.0,0.0,0.0,21:46,22.0,-5.0,14.0,792.0,11:48,00:29,00:17
8479945,Gavin Bayreuther,"Bayreuther, Gavin",D,169,561:25,,,,,,,,,,,,,,,43,,,,13:03,,,,8.0,0.0,22.0,44.0,50.0,0.0,0.0,01:32,541:04,22,0.0,0.0,0.0,0.0,0.0,0.0,18:49,45.0,0.0,8.0,775.0,12:34,00:26,00:02
8480205,Emil Bemstrom,"Bemstrom, Emil",C,120,431:21,,,,,,,,,,,,,,,41,,,,10:31,,,,5.0,6.0,4.0,62.0,36.0,0.0,0.0,44:47,386:22,4,50.0,9.7,1.0,0.0,0.0,0.0,00:12,6.0,-1.0,11.0,587.0,09:25,00:00,01:05
8480292,Carson Meyer,"Meyer, Carson",RW,51,106:57,,,,,,,,,,,,,,,13,,,,08:13,,,,2.0,1.0,6.0,13.0,27.0,0.0,0.0,00:05,105:34,6,0.0,7.7,0.0,0.0,0.0,0.0,01:18,2.0,0.0,3.0,155.0,08:07,00:06,00:00
8480441,Trey Fix-Wolansky,"Fix-Wolansky, Trey",RW,18,37:43,,,,,,,,,,,,,,,6,,,,06:17,,,,1.0,1.0,0.0,5.0,7.0,0.0,0.0,00:00,37:43,0,0.0,20.0,0.0,0.0,0.0,0.0,00:00,4.0,-1.0,2.0,62.0,06:17,00:00,00:00
8480762,Eric Robinson,"Robinson, Eric",LW,265,930:46,,,,,,,,,,,,,,,67,,,,13:53,,,,17.0,10.0,18.0,104.0,95.0,0.0,0.0,02:03,773:13,18,50.0,9.6,1.0,0.0,2.0,2.0,155:30,20.0,-1.0,27.0,1275.0,11:32,02:19,00:01
8480853,Liam Foudy,"Foudy, Liam",C,2,11:51,,,,,,,,,,,,,,,1,,,,11:51,,,,0.0,0.0,0.0,1.0,1.0,0.0,0.0,00:00,11:05,0,0.0,0.0,0.0,0.0,0.0,0.0,00:46,0.0,-1.0,0.0,17.0,11:05,00:46,00:00
8480871,Adam Boqvist,"Boqvist, Adam",D,178,886:23,,,,,,,,,,,,,,,52,,,,17:02,,,,11.0,11.0,12.0,64.0,26.0,3.0,6.0,100:27,783:53,12,0.0,17.2,1.0,0.0,0.0,0.0,02:03,47.0,-11.0,22.0,1116.0,15:04,00:02,01:55
